hpo_id,alias_en,synonym_type
HP:0000098,Accelerated linear growth,unspecified
HP:0000098,Increased body height,layperson
HP:0000098,Increased linear growth,unspecified
HP:0000099,Glomerular nephritis,unspecified
HP:0000100,Nephrosis,unspecified
HP:0000103,Increased urine output,layperson
HP:0000104,Absent kidney,layperson
HP:0000104,Missing kidney,layperson
HP:0000104,Renal aplasia,unspecified
HP:0000105,Large kidneys,layperson
HP:0000105,Nephromegaly,unspecified
HP:0000105,Renal enlargement,unspecified
HP:0000107,Kidney cyst,layperson
HP:0000108,Corticomedullary renal cysts,unspecified
HP:0000110,Dysplastic kidneys,unspecified
HP:0000110,Renal adysplasia,unspecified
HP:0000113,Polycystic kidneys,unspecified
HP:0000114,Proximal renal tubule defect,unspecified
HP:0000114,Proximal renal tubulopathy,unspecified
HP:0000114,Proximal tubular defect,unspecified
HP:0000114,Proximal tubule dysfunction,unspecified
HP:0000114,Selective proximal tubular damage,unspecified
HP:0000118,Organ abnormality,unspecified
HP:0000119,Abnormality of the GU system,abbreviation
HP:0000119,Genitourinary abnormality,unspecified
HP:0000119,Genitourinary tract anomalies,unspecified
HP:0000119,Genitourinary tract malformation,unspecified
HP:0000119,Urogenital abnormalities,unspecified
HP:0000119,Urogenital anomalies,unspecified
HP:0000121,Too much calcium deposited in kidneys,layperson
HP:0000122,Absent kidney on one side,layperson
HP:0000122,Missing one kidney,layperson
HP:0000122,Single kidney,layperson
HP:0000122,Unilateral kidney agenesis,unspecified
HP:0000123,Kidney inflammation,layperson
HP:0000124,Abnormal function of filtrating structures in kidney,layperson
HP:0000124,Renal tubular defect,unspecified
HP:0000125,Sacral kidney,unspecified
HP:0000127,Loss of salt in urine,layperson
HP:0000127,Renal salt-wasting,unspecified
HP:0000127,Salt wasting,unspecified
HP:0000127,Salt-wasting,unspecified
HP:0000128,Renal K wasting,abbreviation
HP:0000130,Uterine abnormalities,layperson
HP:0000130,Uterine malformations,layperson
HP:0000131,Benign uterine leiomyomas,unspecified
HP:0000131,Uterine fibroid,unspecified
HP:0000132,Abnormally heavy bleeding during menstruation,layperson
HP:0000132,Abnormally heavy periods,layperson
HP:0000132,Hypermenorrhea,unspecified
HP:0000133,Mixed gonadal dysgenesis,unspecified
HP:0000133,Pure gonadal dysgenesis,unspecified
HP:0000134,"Hypogonadism, female",unspecified
HP:0000135,Decreased activity of gonads,layperson
HP:0000137,Abnormality of the ovaries,layperson
HP:0000138,Cystic abnormalities of the ovaries,unspecified
HP:0000138,Cystic ovaries,unspecified
HP:0000138,Ovarian cystic abnormality,unspecified
HP:0000139,Sagging uterus,layperson
HP:0000141,Abnormal absence of menstruation,layperson
HP:0000142,Vaginal malformation,unspecified
HP:0000143,Abnormal connection between rectum and vagina,layperson
HP:0000144,Abnormal fertility,layperson
HP:0000145,Transverse vaginal membrane,unspecified
HP:0000147,Polycystic ovary,unspecified
HP:0000147,Sclerocystic ovaries,unspecified
HP:0000148,Abnormally closed or absent vagina,layperson
HP:0000149,"Gonadoblastoma, female",unspecified
HP:0000151,Absent uterus,layperson
HP:0000151,uterus absent,layperson
HP:0000152,Head and neck abnormality,layperson
HP:0000153,Abnormal mouth,layperson
HP:0000154,Broad mouth,layperson
HP:0000154,Large mouth,layperson
HP:0000154,Large oral aperture,unspecified
HP:0000154,Macrostomia,unspecified
HP:0000155,Mouth ulcer,layperson
HP:0000155,Oral mucosal ulceration,unspecified
HP:0000157,Abnormal tongue,layperson
HP:0000157,Glossal abnormality,unspecified
HP:0000157,Lingual abnormality,unspecified
HP:0000157,Tongue abnormality,layperson
HP:0000158,Abnormally large tongue,layperson
HP:0000158,Hyperplasia of the tongue,unspecified
HP:0000158,Hypertrophy of the tongue,unspecified
HP:0000158,Increased size of tongue,layperson
HP:0000158,Large tongue,layperson
HP:0000158,Tongue hypertrophy,unspecified
HP:0000159,Abnormal lip,layperson
HP:0000159,Abnormality of the lip,layperson
HP:0000159,Lip abnormality,layperson
HP:0000160,Microstomia,unspecified
HP:0000160,Small mouth,layperson
HP:0000160,Small oral aperture,unspecified
HP:0000161,Central cleft upper lip,layperson
HP:0000161,Midline cleft lip,unspecified
HP:0000162,Lingual retraction,unspecified
HP:0000162,Retraction of the tongue,layperson
HP:0000163,Abnormality of the oral cavity,layperson
HP:0000164,Abnormal dentition,layperson
HP:0000164,Abnormal teeth,layperson
HP:0000164,Dental abnormalities,plural_form
HP:0000164,Dental abnormality,layperson
HP:0000164,Dental anomalies,plural_form
HP:0000166,Early-onset aggressive periodontitis,unspecified
HP:0000166,Prepubertal periodontitis,unspecified
HP:0000166,Severe aggressive periodontitis,unspecified
HP:0000166,Severe periodontal disease,unspecified
HP:0000166,Severe pyorrhea,unspecified
HP:0000168,Abnormality of the gums,layperson
HP:0000168,Gingival abnormality,unspecified
HP:0000169,Gingival fibroma,unspecified
HP:0000169,Gingival fibrous nodules,unspecified
HP:0000171,Abnormally small tongue,layperson
HP:0000171,Decreased size of tongue,unspecified
HP:0000171,Hypoglossia,unspecified
HP:0000171,Hypoplasia of the tongue,unspecified
HP:0000171,Hypoplastic tongue,unspecified
HP:0000171,Lingual hypoplasia,unspecified
HP:0000171,Rudimentary tongue,unspecified
HP:0000171,Small tongue,unspecified
HP:0000171,Underdevelopment of the tongue,layperson
HP:0000172,Abnormality of palatine uvula,unspecified
HP:0000172,Abnormality of the uvula,layperson
HP:0000174,Abnormality of the palate,layperson
HP:0000174,Abnormality of the roof of the mouth,layperson
HP:0000174,Palatal anomaly,unspecified
HP:0000174,Palate abnormality,unspecified
HP:0000175,Cleft hard and soft palate,unspecified
HP:0000175,Cleft of hard and soft palate,unspecified
HP:0000175,Cleft of palate,unspecified
HP:0000175,Cleft roof of mouth,layperson
HP:0000175,Palatoschisis,unspecified
HP:0000175,Uranostaphyloschisis,unspecified
HP:0000176,Partial thickness cleft hard palate,unspecified
HP:0000177,Abnormality of upper lip,layperson
HP:0000178,Abnormality of lower lip,layperson
HP:0000179,Full lower lip vermilion,unspecified
HP:0000179,Increased height of lower lip vermilion,unspecified
HP:0000179,Increased volume of lower lip,layperson
HP:0000179,Increased volume of lower lip vermilion,unspecified
HP:0000179,Plump lower lip,layperson
HP:0000179,Prominent lower lip,layperson
HP:0000179,Thick vermilion border of lower lip,unspecified
HP:0000180,Bumpy tongue,layperson
HP:0000180,Lingual lobules,unspecified
HP:0000180,Lobulate tongue,unspecified
HP:0000182,Abnormality of lingual movement,unspecified
HP:0000185,Cleft muscular palate,unspecified
HP:0000185,Cleft of soft palate,unspecified
HP:0000185,Cleft velum,unspecified
HP:0000187,Broad alveolar margins,unspecified
HP:0000187,Widened alveolar ridges,unspecified
HP:0000188,Decreased height of upper lip,layperson
HP:0000188,Decreased upper labial height,unspecified
HP:0000188,Decreased upper labial length,unspecified
HP:0000188,Decreased vertical length of upper lip,layperson
HP:0000188,Shortening of upper lip,layperson
HP:0000188,Vertical deficiency of upper lip,unspecified
HP:0000189,Decreased palatal width,unspecified
HP:0000189,Decreased transverse dimension of palate,unspecified
HP:0000189,Narrow roof of mouth,layperson
HP:0000190,Abnormality of frenum of tongue,unspecified
HP:0000190,Abnormality of lingual frenum,unspecified
HP:0000190,Abnormality of oral frenula,unspecified
HP:0000190,Abnormality of oral frenum,unspecified
HP:0000191,Accessory oral frenum,unspecified
HP:0000191,Extra oral frenulum,unspecified
HP:0000191,Extra oral frenum,unspecified
HP:0000191,Multiple oral frenula,unspecified
HP:0000191,Supernumerary oral frenulum,unspecified
HP:0000191,Supernumerary oral frenum,unspecified
HP:0000193,Bifid palatine uvula,unspecified
HP:0000193,Cleft of uvula,unspecified
HP:0000193,Cleft uvula,unspecified
HP:0000193,Forked uvula,unspecified
HP:0000193,Split uvula,unspecified
HP:0000193,Uvula bifida,unspecified
HP:0000194,Gaped jawed appearance,layperson
HP:0000194,Gaped mouthed appearance,layperson
HP:0000194,Slack jawed appearance,layperson
HP:0000197,Abnormality of parotid gland,unspecified
HP:0000197,Anomaly of the parotid gland,unspecified
HP:0000198,Absence of parotid duct,unspecified
HP:0000198,Absent stensen duct,unspecified
HP:0000198,Failure of development of parotid duct,unspecified
HP:0000198,Failure of development of stensen duct,unspecified
HP:0000198,Missing parotid duct,unspecified
HP:0000198,Missing stensen duct,unspecified
HP:0000199,Lingual nodules,unspecified
HP:0000200,Deficiency of lingual frenulum,unspecified
HP:0000200,Short lingual frenum,unspecified
HP:0000200,Short tongue frenulum,unspecified
HP:0000200,Short tongue frenum,unspecified
HP:0000200,Tight lingual frenulum,unspecified
HP:0000201,Pierre Robin sequence,unspecified
HP:0000201,Pierre-robin anomaly,unspecified
HP:0000201,Pierre-robin deformity,unspecified
HP:0000201,Pierre-robin malformation,unspecified
HP:0000201,Robin sequence,unspecified
HP:0000202,Cleft of the mouth,layperson
HP:0000202,Oral cleft,unspecified
HP:0000202,Oral clefting,unspecified
HP:0000204,Cheiloschisis of upper lip,unspecified
HP:0000204,Harelip,layperson
