disease_id,disease_name,tier,has_mendelian_gene,genes,pathogenic_variants,pathogenic_snv,snv_at_panel_position,allele_match,strand_flip_match,best_review_stars_matched,matched_variation_ids
OMIM:618433,Spermatogenic failure 38,snv_fora_do_painel,True,ARMC2,6,4,0,0,0,,
OMIM:618434,"Deafness, autosomal recessive 94",snv_fora_do_painel,True,NARS2,4,3,0,0,0,,
OMIM:618435,"Arthrogryposis, distal, type 2B2",snv_fora_do_painel,True,TNNT3,5,5,0,0,0,,
OMIM:618436,"Arthrogryposis, distal, type 2B3",snv_fora_do_painel,True,MYH3,11,9,0,0,0,,
OMIM:618437,"Epileptic encephalopathy, early infantile, 75",snv_fora_do_painel,True,PARS2,4,3,0,0,0,,
OMIM:618438,"Spastic ataxia 9, autosomal recessive",sem_snv,True,CHP1,1,0,0,0,0,,
OMIM:618440,Oculoskeletodental syndrome,snv_fora_do_painel,True,PIK3C2A,7,5,0,0,0,,
OMIM:618447,Long QT syndrome 8,snv_fora_do_painel,True,CACNA1C,13,13,0,0,0,,
OMIM:618449,"Ciliary dyskinesia, primary, 41",sem_variante_patogenica,True,GAS2L2,0,0,0,0,0,,
OMIM:618451,"Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia",snv_fora_do_painel,True,IREB2,2,2,0,0,0,,
OMIM:618453,Intellectual developmental disorder with short stature and variable skeletal anomalies,snv_fora_do_painel,True,WIPI2,2,2,0,0,0,,
OMIM:618454,Developmental delay with or without dysmorphic facies and autism,snv_fora_do_painel,True,TRRAP,20,19,0,0,0,,
OMIM:618456,"Deafness, autosomal recessive 114",snv_fora_do_painel,True,GRAP,1,1,0,0,0,,
OMIM:618457,"Deafness, autosomal recessive 115",sem_snv,True,SPNS2,2,0,0,0,0,,
OMIM:618458,Knobloch syndrome 2,snv_fora_do_painel,True,PAK2,2,2,0,0,0,,
OMIM:618459,Immunodeficiency 62,sem_variante_patogenica,True,ARHGEF1,0,0,0,0,0,,
OMIM:618460,Khan-Khan-Katsanis syndrome,snv_fora_do_painel,True,NCAPG2,1,1,0,0,0,,
OMIM:618462,"Bleeding disorder, platelet-type, 22",snv_fora_do_painel,True,EPHB2,1,1,0,0,0,,
OMIM:618463,"Hypoalphalipoproteinemia, primary, 2",snv_fora_do_painel,True,APOA1,10,8,0,0,0,,
OMIM:618464,Paragangliomas 6,snv_fora_do_painel,True,SLC25A11,5,4,0,0,0,,
OMIM:618468,"Epileptic encephalopathy, early infantile, 76",snv_fora_do_painel,True,ACTL6B,30,24,0,0,0,,
OMIM:618469,"Contractures, pterygia, and variable skeletal fusions syndrome 1B",snv_fora_do_painel,True,MYH3,13,9,0,0,0,,
OMIM:618470,Intellectual developmental disorder with severe speech and ambulation defects,snv_fora_do_painel,True,ACTL6B,7,5,0,0,0,,
OMIM:618475,Paragangliomas 7,sem_variante_patogenica,True,DLST,0,0,0,0,0,,
OMIM:618476,"Brain abnormalities, neurodegeneration, and dysosteosclerosis",snv_fora_do_painel,True,CSF1R,11,10,0,0,0,,
OMIM:618477,URIDINE-CYTIDINEURIA,sem_variante_patogenica,True,SLC28A1,0,0,0,0,0,,
OMIM:618479,"Cerebellar, ocular, craniofacial, and genital syndrome",snv_fora_do_painel,True,MAB21L1,6,3,0,0,0,,
OMIM:618480,Neurodevelopmental disorder with seizures and speech and walking impairment,snv_fora_do_painel,True,DHPS,3,2,0,0,0,,
OMIM:618481,"Deafness, autosomal recessive 99",sem_variante_patogenica,True,TMEM132E,0,0,0,0,0,,
OMIM:618482,"Generalized epilepsy with febrile seizures plus, type 10",snv_fora_do_painel,True,HCN1,14,13,0,0,0,,
OMIM:618484,"Arthrogryposis multiplex congenita 3, myogenic type",snv_fora_do_painel,True,SYNE1,25,19,0,0,0,,
OMIM:618492,Neurodevelopmental disorder with microcephaly and structural brain anomalies,snv_fora_do_painel,True,DYNC1I2,4,4,0,0,0,,
OMIM:618494,"Congenital hypotonia, epilepsy, developmental delay, and digital anomalies",snv_fora_do_painel,True,ATN1,11,8,0,0,0,,
OMIM:618495,Immunodeficiency 63 with lymphoproliferation and autoimmunity,snv_fora_do_painel,True,IL2RB,2,2,0,0,0,,
OMIM:618496,Aortic valve disease 3,snv_fora_do_painel,True,ROBO4,4,2,0,0,0,,
OMIM:618497,Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements,snv_fora_do_painel,True,CACNA1B,9,2,0,0,0,,
OMIM:618498,"Polydactyly, postaxial, type A10",snv_fora_do_painel,True,KIAA0825,6,3,0,0,0,,
OMIM:618499,Noonan syndrome 11,snv_fora_do_painel,True,MRAS,3,3,0,0,0,,
OMIM:618501,Cerebellar atrophy with seizures and variable developmental delay,snv_fora_do_painel,True,CACNA2D2,15,12,0,0,0,,
OMIM:618504,"Intellectual developmental disorder, autosomal recessive 71",snv_fora_do_painel,True,ALKBH8,6,3,0,0,0,,
OMIM:618505,Stolerman neurodevelopmental syndrome,snv_fora_do_painel,True,KDM6B,86,41,0,0,0,,
OMIM:618506,Coffin-Siris syndrome 10,snv_fora_do_painel,True,SOX4,20,14,0,0,0,,
OMIM:618511,"Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy",snv_fora_do_painel,True,PDXK,3,3,0,0,0,,
OMIM:618512,O'donnell-Luria-Rodan syndrome,snv_fora_do_painel,True,KMT2E,65,32,0,0,0,,
OMIM:618513,Leber congenital amaurosis 19,snv_fora_do_painel,True,USP45,6,3,0,0,0,,
OMIM:618522,Intellectual developmental disorder 59,snv_fora_do_painel,True,CAMK2G,4,3,0,0,0,,
OMIM:618523,"Hyper-IgE recurrent infection syndrome 4, autosomal recessive",snv_fora_do_painel,True,IL6ST,3,2,0,0,0,,
OMIM:618524,"Myopathy, congenital, with tremor",snv_fora_do_painel,True,MYBPC1,6,5,0,0,0,,
OMIM:618527,"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facial features",snv_fora_do_painel,True,ELOVL1,1,1,0,0,0,,
OMIM:618528,Mitochondrial DNA depletion syndrome 16 (hepatic type),snv_fora_do_painel,True,POLG2,1,1,0,0,0,,
OMIM:618529,"Robinow syndrome, autosomal recessive 2",snv_fora_do_painel,True,NXN,2,1,0,0,0,,
OMIM:618531,Erythrokeratodermia veriabilis et progressiva 6,snv_fora_do_painel,True,TRPM4,2,2,0,0,0,,
OMIM:618533,"Deafness, autosomal dominant 37",snv_fora_do_painel,True,COL11A1,15,14,0,0,0,,
OMIM:618534,Immunodeficiency 64,snv_fora_do_painel,True,RASGRP1,12,8,0,0,0,,
OMIM:618535,"Ectodermal dysplasia 15, Hypohidrotic/hair type",snv_fora_do_painel,True,CST6,2,1,0,0,0,,
OMIM:618541,"Hypopigmentation, organomegaly, and delayed myelination and development",snv_fora_do_painel,True,CLCN7,3,3,0,0,0,,
OMIM:618546,"Trichothiodystrophy 7, nonphotosensitive",snv_fora_do_painel,True,TARS1,4,3,0,0,0,,
OMIM:618547,Neurodevelopmental disorder with visual defects and brain anomalies,snv_fora_do_painel,True,HK1,10,9,0,0,0,,
OMIM:618548,"Epileptic encephalopathy, early infantile, 77",snv_fora_do_painel,True,PIGQ,10,5,0,0,0,,
OMIM:618549,"Hepatitis, fulminant viral, susceptibility to",sem_variante_patogenica,False,IL18BP,0,0,0,0,0,,
OMIM:618550,Oocyte maturation defect 7,snv_fora_do_painel,True,PANX1,4,3,0,0,0,,
OMIM:618555,"Night blindness, congenital stationary, type 1I",snv_fora_do_painel,True,GUCY2D,26,19,0,0,0,,
OMIM:618557,"Epileptic encephalopathy, early infantile, 78",snv_fora_do_painel,True,GABRA2,13,12,0,0,0,,
OMIM:618559,"Epileptic encephalopathy, early infantile, 79",snv_fora_do_painel,True,GABRA5,4,4,0,0,0,,
OMIM:618564,"Microangiopathy and leukoencephalopathy, pontine, autosomal dominant",snv_fora_do_painel,True,COL4A1,48,38,0,0,0,,
OMIM:618567,Mitochondrial DNA depletion syndrome 17,snv_fora_do_painel,True,MRM2,2,2,0,0,0,,
OMIM:618569,"Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly",snv_fora_do_painel,True,SVBP,4,2,0,0,0,,
OMIM:618571,"Neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies",snv_fora_do_painel,True,INTS1,14,9,0,0,0,,
OMIM:618572,Neurodevelopmental disorder with cerebellar hypoplasia and spasticity,snv_fora_do_painel,True,INTS8,2,1,0,0,0,,
OMIM:618573,"Hypothyroidism, congenital, nongoitrous, 7",snv_fora_do_painel,True,TRHR,7,4,0,0,0,,
OMIM:618577,Neurodevelopmental disorder with structural brain anomalies and dysmorphic facies,snv_fora_do_painel,True,RAC3,9,8,0,0,0,,
OMIM:618578,"Myopathy, congenital, progressive, with scoliosis",snv_fora_do_painel,True,PAX7,4,4,0,0,0,,
OMIM:618580,"Epileptic encephalopathy, early infantile, 80",snv_fora_do_painel,True,PIGB,10,10,0,0,0,,
OMIM:618587,Intellectual developmental disorder 60 with seizures,snv_fora_do_painel,True,AP2M1,2,2,0,0,0,,
OMIM:618590,"Neurodevelopmental disorder with brain anomalies, seizures, and scoliosis",snv_fora_do_painel,True,PIGU,3,2,0,0,0,,
OMIM:618591,"Short sleep, familial natural, 2",snv_fora_do_painel,True,ADRB1,1,1,0,0,0,,
OMIM:618594,"Nephrotic syndrome, type 21",snv_fora_do_painel,True,AVIL,7,6,0,0,0,,
OMIM:618596,"Epilepsy, idiopathic generalized, susceptibility to, 16",sem_variante_patogenica,False,KCNMA1,0,0,0,0,0,,
OMIM:618598,"Spastic tetraplegia and axial hypotonia, progressive",snv_fora_do_painel,True,SOD1,9,7,0,0,0,,
OMIM:618603,Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities,snv_fora_do_painel,True,POLR2A,34,26,0,0,0,,
OMIM:618604,Snijders Blok-Fisher syndrome,snv_fora_do_painel,True,POU3F3,34,22,0,0,0,,
OMIM:618606,"Pontocerebellar hypoplasia, type 13",snv_fora_do_painel,True,VPS51,5,2,0,0,0,,
OMIM:618608,"Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",snv_fora_do_painel,True,CNOT2,3,1,0,0,0,,
OMIM:618612,"Lower urinary tract obstruction, congenital",snv_fora_do_painel,True,BNC2,2,2,0,0,0,,
OMIM:618613,Retinitis pigmentosa 86,snv_fora_do_painel,True,KIAA1549,4,2,0,0,0,,
OMIM:618618,"Spondyloepiphyseal dysplasia, Nishimura type",snv_fora_do_painel,True,MIR140,1,1,0,0,0,,
OMIM:618619,Weiss-Kruszka syndrome,snv_fora_do_painel,True,ZNF462,50,21,0,0,0,,
OMIM:618620,Abdominal obesity-metabolic syndrome 4,snv_fora_do_painel,True,CELA2A,4,4,0,0,0,,
OMIM:618622,"Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies",snv_fora_do_painel,True,SMPD4,23,11,0,0,0,,
OMIM:618624,Noonan syndrome 12,snv_fora_do_painel,True,RRAS2,5,4,0,0,0,,
OMIM:618625,"Rothmund-thomson syndrome, type 1",snv_fora_do_painel,True,ANAPC1,3,2,0,0,0,,
OMIM:618632,"Usher syndrome, type 1M",sem_snv,True,ESPN,3,0,0,0,0,,
OMIM:618635,Siddiqi syndrome,snv_fora_do_painel,True,FITM2,5,4,0,0,0,,
OMIM:618637,Oculopharyngeal myopathy with leukoencephalopathy 1,sem_variante_patogenica,True,NUTM2B-AS1,0,0,0,0,0,,
OMIM:618641,Infantile liver failure syndrome 3,snv_fora_do_painel,True,RINT1,4,2,0,0,0,,
OMIM:618643,Spermatogenic failure 39,snv_fora_do_painel,True,DNAH17,12,8,0,0,0,,
OMIM:618644,"Osteogenesis imperfecta, type XX",snv_fora_do_painel,True,MESD,5,1,0,0,0,,
OMIM:618646,Diencephalic-mesencephalic junction dysplasia syndrome 2,sem_variante_patogenica,True,GSX2,0,0,0,0,0,,
OMIM:618648,"Immunodeficiency 65, susceptibility to viral infections",sem_variante_patogenica,True,IRF9,0,0,0,0,0,,
OMIM:618651,"Neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies",sem_snv,True,SEC31A,1,0,0,0,0,,
OMIM:618652,Neurooculocardiogenitourinary syndrome,snv_fora_do_painel,True,WDR37,10,8,0,0,0,,
OMIM:618653,Intellectual developmental disorder with impaired language and dysmorphic facies,snv_fora_do_painel,True,DDX6,9,8,0,0,0,,
OMIM:618654,"Myopathy, congenital with structured cores and Z-line abnormalities",snv_fora_do_painel,True,ACTN2,3,2,0,0,0,,
OMIM:618655,"Myopathy, distal, 6, adult onset",snv_fora_do_painel,True,ACTN2,1,1,0,0,0,,
OMIM:618658,Zimmermann-Laband syndrome 3,snv_fora_do_painel,True,KCNN3,5,4,0,0,0,,
OMIM:618659,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,snv_fora_do_painel,True,ZMIZ1,25,13,0,0,0,,
OMIM:618660,Hemolytic anemia due to glutathione reductase deficiency,snv_fora_do_painel,True,GSR,8,4,0,0,0,,
OMIM:618662,"Diarrhea 11, malabsorptive, congenital",snv_fora_do_painel,True,PERCC1,5,3,0,0,0,,
OMIM:618663,"Epileptic encephalopathy, early infantile, 81",snv_fora_do_painel,True,DMXL2,8,6,0,0,0,,
OMIM:618664,Spermatogenic failure 40,snv_fora_do_painel,True,CFAP65,6,4,0,0,0,,
OMIM:618666,Sitosterolemia 2,snv_fora_do_painel,True,ABCG5,23,18,0,0,0,,
OMIM:618667,"Hydrocephalus, congenital communicating, 1",snv_fora_do_painel,True,TRIM71,4,3,0,0,0,,
OMIM:618670,Spermatogenic failure 41,snv_fora_do_painel,True,CFAP70,1,1,0,0,0,,
OMIM:618672,"Intellectual developmental disorder with speech delay, autism, and dysmorphic facies",snv_fora_do_painel,True,CNOT3,51,28,0,0,0,,
OMIM:618674,"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 5",snv_fora_do_painel,True,ZCCHC8,2,2,0,0,0,,
OMIM:618677,"Cortical dysplasia, complex, with other brain malformations 10",snv_fora_do_painel,True,APC2,7,2,0,0,0,,
OMIM:618680,"Pancreatic cancer, susceptibility to, 5",sem_variante_patogenica,False,RABL3,0,0,0,0,0,,
OMIM:618681,Lessel-Kubisch syndrome,snv_fora_do_painel,True,MDM2,1,1,0,0,0,,
OMIM:618683,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 6",snv_fora_do_painel,True,ATP5MK,3,2,0,0,0,,
